busco_id	n_taxa	prot_aln_aa	codon_aln_bp	gap_frac	mafft_rc	pal2nal_rc
101241at33090	3	423	1269	0.0039	0	0
101701at33090	3	890	2670	0.0075	0	0
102307at33090	3	343	1029	0.0000	0	0
103267at33090	3	712	2136	0.0721	0	0
103382at33090	3	392	1176	0.0230	0	0
104557at33090	3	462	1386	0.0014	0	0
104821at33090	3	590	1770	0.0842	0	0
104867at33090	3	929	2787	0.0061	0	0
105044at33090	3	847	2541	0.0551	0	0
105782at33090	3	376	1128	0.0133	0	0
105867at33090	3	430	1290	0.0047	0	0
106769at33090	3	388	1164	0.0086	0	0
106886at33090	3	415	1245	0.0016	0	0
107107at33090	3	632	1896	0.0717	0	0
108705at33090	3	470	1410	0.0050	0	0
10924at33090	3	965	2895	0.0007	0	0
109586at33090	3	619	1857	0.0582	0	0
109823at33090	3	360	1080	0.0074	0	0
110222at33090	3	594	1782	0.0056	0	0
111210at33090	3	365	1095	0.0000	0	0
111213at33090	3	366	1098	0.0182	0	0
111249at33090	3	407	1221	0.0049	0	0
111924at33090	3	346	1038	0.0395	0	0
112325at33090	3	396	1188	0.0219	0	0
112461at33090	3	567	1701	0.0100	0	0
112542at33090	3	356	1068	0.0009	0	0
114996at33090	3	1319	3957	0.0010	0	0
115240at33090	3	414	1242	0.0000	0	0
115992at33090	3	300	900	0.0011	0	0
116411at33090	3	366	1098	0.0009	0	0
116516at33090	3	552	1656	0.0042	0	0
116585at33090	3	388	1164	0.0129	0	0
116623at33090	3	410	1230	0.0081	0	0
117191at33090	3	402	1206	0.0000	0	0
117247at33090	3	351	1053	0.0047	0	0
11800at33090	3	1268	3804	0.0013	0	0
119439at33090	3	468	1404	0.0000	0	0
120031at33090	3	446	1338	0.0239	0	0
120455at33090	3	341	1023	0.0225	0	0
120589at33090	3	534	1602	0.0031	0	0
121281at33090	3	355	1065	0.0000	0	0
122367at33090	3	477	1431	0.0007	0	0
122422at33090	3	322	966	0.0000	0	0
122831at33090	3	583	1749	0.0269	0	0
122958at33090	3	336	1008	0.0060	0	0
123838at33090	3	346	1038	0.0019	0	0
125747at33090	3	330	990	0.0030	0	0
126138at33090	3	539	1617	0.0012	0	0
126427at33090	3	332	996	0.0131	0	0
128774at33090	3	281	843	0.0000	0	0
130268at33090	3	356	1068	0.0019	0	0
130279at33090	3	409	1227	0.0008	0	0
13039at33090	3	977	2931	0.0020	0	0
130637at33090	3	471	1413	0.0028	0	0
131556at33090	3	476	1428	0.0028	0	0
131874at33090	3	714	2142	0.0187	0	0
131914at33090	3	332	996	0.0131	0	0
133112at33090	3	421	1263	0.0087	0	0
133622at33090	3	379	1137	0.0097	0	0
134078at33090	3	333	999	0.0060	0	0
135419at33090	3	417	1251	0.0000	0	0
135892at33090	3	560	1680	0.0190	0	0
136118at33090	3	658	1974	0.0066	0	0
136267at33090	3	345	1035	0.0077	0	0
1363at33090	3	1657	4971	0.0187	0	0
13643at33090	3	836	2508	0.0000	0	0
136579at33090	3	480	1440	0.0264	0	0
137018at33090	3	434	1302	0.0284	0	0
137771at33090	3	670	2010	0.0020	0	0
137787at33090	3	655	1965	0.0071	0	0
138782at33090	3	344	1032	0.0184	0	0
139062at33090	3	365	1095	0.0018	0	0
139450at33090	3	453	1359	0.0081	0	0
139497at33090	3	1054	3162	0.0013	0	0
140683at33090	3	367	1101	0.0091	0	0
140876at33090	3	315	945	0.0243	0	0
141861at33090	3	352	1056	0.0871	0	0
1419at33090	3	2460	7380	0.1617	0	0
142382at33090	3	335	1005	0.0000	0	0
142433at33090	3	354	1062	0.0019	0	0
143102at33090	3	425	1275	0.0086	0	0
143347at33090	3	344	1032	0.0155	0	0
143963at33090	3	337	1011	0.0069	0	0
144144at33090	3	243	729	0.0521	0	0
144680at33090	3	390	1170	0.1556	0	0
144716at33090	3	349	1047	0.1060	0	0
144765at33090	3	365	1095	0.0210	0	0
144990at33090	3	304	912	0.0011	0	0
145061at33090	3	654	1962	0.0036	0	0
145734at33090	3	413	1239	0.0145	0	0
146354at33090	3	302	906	0.0000	0	0
146469at33090	3	278	834	0.0024	0	0
146772at33090	3	314	942	0.0085	0	0
146921at33090	3	328	984	0.1026	0	0
147083at33090	3	353	1059	0.0085	0	0
147262at33090	3	391	1173	0.0136	0	0
148839at33090	3	413	1239	0.0000	0	0
149782at33090	3	272	816	0.0245	0	0
150559at33090	3	330	990	0.1010	0	0
152317at33090	3	314	942	0.0021	0	0
153820at33090	3	511	1533	0.0744	0	0
154870at33090	3	705	2115	0.0274	0	0
155102at33090	3	287	861	0.0000	0	0
1557at33090	3	1721	5163	0.0027	0	0
15682at33090	3	848	2544	0.0000	0	0
156843at33090	3	271	813	0.0000	0	0
156887at33090	3	275	825	0.0097	0	0
158492at33090	3	271	813	0.0148	0	0
158957at33090	3	276	828	0.0519	0	0
160064at33090	3	282	846	0.1241	0	0
160610at33090	3	320	960	0.0000	0	0
160680at33090	3	734	2202	0.0086	0	0
161054at33090	3	377	1131	0.0000	0	0
161066at33090	3	410	1230	0.0098	0	0
161269at33090	3	232	696	0.0029	0	0
161309at33090	3	507	1521	0.0164	0	0
161559at33090	3	326	978	0.0164	0	0
162794at33090	3	834	2502	0.4277	0	0
163097at33090	3	440	1320	0.0045	0	0
163701at33090	3	302	906	0.0044	0	0
163833at33090	3	457	1371	0.0197	0	0
164019at33090	3	360	1080	0.0093	0	0
164556at33090	3	274	822	0.0036	0	0
165103at33090	3	377	1131	0.1317	0	0
166645at33090	3	1855	5565	0.0074	0	0
167076at33090	3	251	753	0.0359	0	0
167217at33090	3	251	753	0.0000	0	0
16726at33090	3	950	2850	0.0133	0	0
167325at33090	3	263	789	0.0000	0	0
167809at33090	3	202	606	0.0050	0	0
167850at33090	3	226	678	0.0029	0	0
167932at33090	3	268	804	0.0336	0	0
168269at33090	3	313	939	0.0650	0	0
168270at33090	3	374	1122	0.0000	0	0
168563at33090	3	260	780	0.0641	0	0
169007at33090	3	222	666	0.0000	0	0
170939at33090	3	495	1485	0.0202	0	0
170945at33090	3	551	1653	0.0030	0	0
171195at33090	3	244	732	0.0109	0	0
171627at33090	3	190	570	0.0000	0	0
171708at33090	3	329	987	0.0101	0	0
171767at33090	3	262	786	0.0025	0	0
172000at33090	3	434	1302	0.0000	0	0
172535at33090	3	508	1524	0.0407	0	0
172666at33090	3	273	819	0.0024	0	0
173119at33090	3	304	912	0.0055	0	0
173143at33090	3	753	2259	0.0164	0	0
173477at33090	3	204	612	0.0212	0	0
174213at33090	3	284	852	0.0481	0	0
174767at33090	3	298	894	0.0805	0	0
175583at33090	3	212	636	0.0173	0	0
175792at33090	3	226	678	0.0000	0	0
176016at33090	3	174	522	0.0000	0	0
176328at33090	3	603	1809	0.0404	0	0
177296at33090	3	208	624	0.0753	0	0
177720at33090	3	722	2166	0.0009	0	0
177964at33090	3	256	768	0.0000	0	0
178386at33090	3	307	921	0.0033	0	0
179975at33090	3	280	840	0.0000	0	0
180408at33090	3	267	801	0.0000	0	0
180466at33090	3	334	1002	0.0050	0	0
180674at33090	3	313	939	0.0011	0	0
181108at33090	3	242	726	0.0069	0	0
182493at33090	3	320	960	0.0063	0	0
182513at33090	3	433	1299	0.0054	0	0
183313at33090	3	352	1056	0.0502	0	0
183396at33090	3	217	651	0.0123	0	0
183719at33090	3	493	1479	0.0068	0	0
183931at33090	3	315	945	0.0011	0	0
184405at33090	3	649	1947	0.1315	0	0
18455at33090	3	760	2280	0.0018	0	0
185172at33090	3	198	594	0.0135	0	0
185214at33090	3	284	852	0.0047	0	0
1855at33090	3	2133	6399	0.0019	0	0
185696at33090	3	635	1905	0.0089	0	0
185941at33090	3	254	762	0.0171	0	0
186340at33090	3	300	900	0.0167	0	0
187462at33090	3	504	1512	0.0238	0	0
187866at33090	3	265	795	0.1849	0	0
187914at33090	3	530	1590	0.0604	0	0
18801at33090	3	1061	3183	0.0079	0	0
188180at33090	3	235	705	0.0071	0	0
188436at33090	3	232	696	0.0000	0	0
188583at33090	3	413	1239	0.0113	0	0
188938at33090	3	439	1317	0.2384	0	0
189891at33090	3	370	1110	0.0036	0	0
190390at33090	3	330	990	0.0051	0	0
191396at33090	3	383	1149	0.0000	0	0
191581at33090	3	286	858	0.0268	0	0
192090at33090	3	786	2358	0.0076	0	0
192456at33090	3	343	1029	0.2410	0	0
192750at33090	3	279	837	0.0000	0	0
193351at33090	3	172	516	0.1143	0	0
193437at33090	3	277	831	0.0181	0	0
193683at33090	3	237	711	0.0000	0	0
193777at33090	3	334	1002	0.0100	0	0
193982at33090	3	225	675	0.0030	0	0
194002at33090	3	239	717	0.0112	0	0
194293at33090	3	347	1041	0.0163	0	0
194372at33090	3	158	474	0.0148	0	0
194467at33090	3	272	816	0.0025	0	0
195185at33090	3	284	852	0.0059	0	0
195354at33090	3	210	630	0.0032	0	0
195527at33090	3	446	1338	0.0217	0	0
195843at33090	3	230	690	0.0000	0	0
196198at33090	3	183	549	0.0000	0	0
196324at33090	3	340	1020	0.0676	0	0
196325at33090	3	345	1035	0.0019	0	0
196410at33090	3	336	1008	0.1200	0	0
196443at33090	3	228	684	0.0175	0	0
196490at33090	3	351	1053	0.0000	0	0
196512at33090	3	492	1476	0.0034	0	0
196850at33090	3	219	657	0.0061	0	0
196873at33090	3	190	570	0.0000	0	0
196991at33090	3	270	810	0.0123	0	0
197780at33090	3	362	1086	0.0249	0	0
197838at33090	3	183	549	0.0182	0	0
198012at33090	3	208	624	0.1026	0	0
198570at33090	3	328	984	0.0010	0	0
199163at33090	3	389	1167	0.0034	0	0
199618at33090	3	433	1299	0.0015	0	0
199795at33090	3	223	669	0.0015	0	0
200316at33090	3	467	1401	0.0029	0	0
200488at33090	3	454	1362	0.0382	0	0
200499at33090	3	390	1170	0.0034	0	0
200687at33090	3	262	786	0.0662	0	0
201861at33090	3	281	843	0.0724	0	0
203023at33090	3	201	603	0.0315	0	0
203383at33090	3	356	1068	0.0056	0	0
203818at33090	3	193	579	0.0035	0	0
204117at33090	3	397	1191	0.1276	0	0
204880at33090	3	280	840	0.0000	0	0
205308at33090	3	278	834	0.0096	0	0
206164at33090	3	181	543	0.0000	0	0
206170at33090	3	261	783	0.0741	0	0
207179at33090	3	414	1242	0.0427	0	0
208706at33090	3	276	828	0.0060	0	0
208707at33090	3	145	435	0.0069	0	0
208849at33090	3	132	396	0.1010	0	0
209015at33090	3	258	774	0.0052	0	0
209301at33090	3	360	1080	0.0000	0	0
209302at33090	3	337	1011	0.1266	0	0
209516at33090	3	273	819	0.0403	0	0
210493at33090	3	182	546	0.0769	0	0
210551at33090	3	262	786	0.0165	0	0
210851at33090	3	198	594	0.0067	0	0
21163at33090	3	1001	3003	0.0150	0	0
211645at33090	3	292	876	0.1244	0	0
212331at33090	3	393	1179	0.0356	0	0
212845at33090	3	283	849	0.0082	0	0
213827at33090	3	229	687	0.0175	0	0
213828at33090	3	196	588	0.0017	0	0
214313at33090	3	176	528	0.0133	0	0
215062at33090	3	219	657	0.0030	0	0
215487at33090	3	137	411	0.0049	0	0
215817at33090	3	388	1164	0.0069	0	0
216228at33090	3	257	771	0.0091	0	0
216601at33090	3	213	639	0.0469	0	0
217014at33090	3	299	897	0.0056	0	0
21751at33090	3	1068	3204	0.0006	0	0
21857at33090	3	777	2331	0.0172	0	0
218947at33090	3	202	606	0.1419	0	0
219128at33090	3	125	375	0.0347	0	0
219839at33090	3	171	513	0.0039	0	0
220316at33090	3	264	792	0.0202	0	0
220587at33090	3	282	846	0.0024	0	0
220589at33090	3	511	1533	0.0294	0	0
22109at33090	3	724	2172	0.0083	0	0
223902at33090	3	147	441	0.0045	0	0
225336at33090	3	269	807	0.1016	0	0
22618at33090	3	856	2568	0.0296	0	0
227848at33090	3	252	756	0.0000	0	0
228201at33090	3	343	1029	0.0136	0	0
22958at33090	3	912	2736	0.0015	0	0
229764at33090	3	391	1173	0.0094	0	0
229778at33090	3	188	564	0.0106	0	0
229782at33090	3	171	513	0.0156	0	0
230103at33090	3	480	1440	0.0021	0	0
231151at33090	3	313	939	0.0053	0	0
231707at33090	3	272	816	0.0000	0	0
233744at33090	3	188	564	0.0248	0	0
23444at33090	3	753	2259	0.0106	0	0
23853at33090	3	934	2802	0.0114	0	0
24838at33090	3	946	2838	0.0074	0	0
24at33090	3	5106	15318	0.0029	0	0
25435at33090	3	945	2835	0.0011	0	0
255at33090	3	2735	8205	0.0285	0	0
26868at33090	3	712	2136	0.0117	0	0
27237at33090	3	806	2418	0.0025	0	0
27607at33090	3	698	2094	0.0010	0	0
28920at33090	3	805	2415	0.0029	0	0
31855at33090	3	736	2208	0.0086	0	0
32730at33090	3	617	1851	0.0216	0	0
32923at33090	3	697	2091	0.0033	0	0
33264at33090	3	676	2028	0.0666	0	0
34517at33090	3	833	2499	0.0032	0	0
35499at33090	3	709	2127	0.0019	0	0
35887at33090	3	873	2619	0.0099	0	0
36284at33090	3	778	2334	0.0026	0	0
37663at33090	3	673	2019	0.0035	0	0
37699at33090	3	834	2502	0.0068	0	0
39913at33090	3	741	2223	0.0000	0	0
4034at33090	3	1407	4221	0.0100	0	0
40630at33090	3	802	2406	0.0116	0	0
41146at33090	3	633	1899	0.0068	0	0
4115at33090	3	1121	3363	0.0086	0	0
41244at33090	3	596	1788	0.0078	0	0
42407at33090	3	838	2514	0.1154	0	0
43683at33090	3	689	2067	0.0310	0	0
43957at33090	3	902	2706	0.0018	0	0
44063at33090	3	577	1731	0.0046	0	0
44526at33090	3	647	1941	0.0031	0	0
46307at33090	3	587	1761	0.0000	0	0
48027at33090	3	570	1710	0.0000	0	0
48290at33090	3	653	1959	0.0082	0	0
48645at33090	3	596	1788	0.0006	0	0
49092at33090	3	556	1668	0.0000	0	0
50512at33090	3	516	1548	0.0090	0	0
50528at33090	3	545	1635	0.0080	0	0
51214at33090	3	611	1833	0.0011	0	0
51262at33090	3	715	2145	0.0065	0	0
52795at33090	3	602	1806	0.0011	0	0
5305at33090	3	1995	5985	0.2638	0	0
53416at33090	3	506	1518	0.0007	0	0
53527at33090	3	955	2865	0.0010	0	0
58672at33090	3	462	1386	0.0051	0	0
5927at33090	3	1341	4023	0.0042	0	0
60262at33090	3	458	1374	0.0000	0	0
62262at33090	3	504	1512	0.0258	0	0
63411at33090	3	533	1599	0.0050	0	0
63853at33090	3	477	1431	0.0035	0	0
64272at33090	3	914	2742	0.0109	0	0
6512at33090	3	1186	3558	0.0118	0	0
65263at33090	3	601	1803	0.0083	0	0
67132at33090	3	670	2010	0.0000	0	0
67389at33090	3	552	1656	0.0181	0	0
68169at33090	3	810	2430	0.0000	0	0
6843at33090	3	1060	3180	0.0827	0	0
68537at33090	3	537	1611	0.0900	0	0
68957at33090	3	571	1713	0.0012	0	0
69073at33090	3	471	1413	0.0000	0	0
69137at33090	3	549	1647	0.0000	0	0
69505at33090	3	529	1587	0.0479	0	0
70613at33090	3	462	1386	0.0022	0	0
71620at33090	3	490	1470	0.0490	0	0
72992at33090	3	585	1755	0.0217	0	0
7366at33090	3	1080	3240	0.0019	0	0
74230at33090	3	469	1407	0.0007	0	0
74742at33090	3	467	1401	0.0000	0	0
76849at33090	3	589	1767	0.0000	0	0
79950at33090	3	449	1347	0.0097	0	0
8072at33090	3	958	2874	0.0000	0	0
83749at33090	3	464	1392	0.0050	0	0
84264at33090	3	899	2697	0.0523	0	0
87347at33090	3	955	2865	0.0010	0	0
87734at33090	3	478	1434	0.0119	0	0
88295at33090	3	455	1365	0.0000	0	0
88687at33090	3	476	1428	0.0420	0	0
88771at33090	3	560	1680	0.0036	0	0
89796at33090	3	680	2040	0.0000	0	0
90301at33090	3	467	1401	0.0043	0	0
9044at33090	3	1068	3204	0.0081	0	0
9058at33090	3	1539	4617	0.0260	0	0
90872at33090	3	459	1377	0.0065	0	0
92579at33090	3	436	1308	0.0329	0	0
95807at33090	3	436	1308	0.0038	0	0
96953at33090	3	394	1182	0.0085	0	0
97593at33090	3	424	1272	0.0063	0	0
9849at33090	3	1136	3408	0.0185	0	0
