gene_id	dataset_index	tip	branch	t	N	S	omega	dN	dS	lnL	kappa	is_terminal	qc_flag
101241at33090	1	c_grandiflora	4..3	0.158	937.4	322.6	0.1133	0.0176	0.1551	-2175.653543	1.63509	True	ok
101241at33090	1		4..5	0.0	937.4	322.6	0.0791	0.0	0.0	-2175.653543	1.63509	False	ds_floor
101241at33090	1	a_halleri	5..1	0.035	937.4	322.6	0.0791	0.0029	0.0367	-2175.653543	1.63509	True	ok
101241at33090	1	a_thaliana	5..2	0.067	937.4	322.6	0.0791	0.0056	0.0712	-2175.653543	1.63509	True	ok
101701at33090	2	c_grandiflora	4..3	0.03	2012.1	621.9	0.3083	0.0066	0.0215	-4819.358953	1.6442	True	ok
101701at33090	2		4..5	0.169	2012.1	621.9	0.1286	0.0217	0.1686	-4819.358953	1.6442	False	ok
101701at33090	2	a_halleri	5..1	0.061	2012.1	621.9	0.1286	0.0078	0.0607	-4819.358953	1.6442	True	ok
101701at33090	2	a_thaliana	5..2	0.077	2012.1	621.9	0.1286	0.0099	0.0769	-4819.358953	1.6442	True	ok
102307at33090	3	c_grandiflora	4..3	0.11	773.9	255.1	0.0001	0.0	0.1479	-1705.777018	1.85322	True	omega_boundary
102307at33090	3		4..5	0.079	773.9	255.1	0.1136	0.009	0.0789	-1705.777018	1.85322	False	ok
102307at33090	3	a_halleri	5..1	0.006	773.9	255.1	0.1136	0.0007	0.006	-1705.777018	1.85322	True	ok
102307at33090	3	a_thaliana	5..2	0.051	773.9	255.1	0.1136	0.0058	0.0511	-1705.777018	1.85322	True	ok
103267at33090	4	c_grandiflora	4..3	0.013	1416.4	473.6	0.0001	0.0	0.0171	-3527.452902	2.42225	True	omega_boundary
103267at33090	4		4..5	0.174	1416.4	473.6	0.3857	0.0416	0.1077	-3527.452902	2.42225	False	ok
103267at33090	4	a_halleri	5..1	0.055	1416.4	473.6	0.3857	0.013	0.0338	-3527.452902	2.42225	True	ok
103267at33090	4	a_thaliana	5..2	0.1	1416.4	473.6	0.3857	0.0239	0.0619	-3527.452902	2.42225	True	ok
103382at33090	5	c_grandiflora	4..3	0.015	830.7	273.3	0.0001	0.0	0.0203	-2203.089051	2.1968	True	omega_boundary
103382at33090	5		4..5	0.25	830.7	273.3	0.2957	0.0525	0.1775	-2203.089051	2.1968	False	ok
103382at33090	5	a_halleri	5..1	0.098	830.7	273.3	0.2957	0.0205	0.0692	-2203.089051	2.1968	True	ok
103382at33090	5	a_thaliana	5..2	0.108	830.7	273.3	0.2957	0.0227	0.0767	-2203.089051	2.1968	True	ok
104557at33090	6	c_grandiflora	4..3	0.0	1006.8	376.2	4.341	0.0	0.0	-2338.128458	2.99344	True	ds_floor
104557at33090	6		4..5	0.114	1006.8	376.2	0.1538	0.0152	0.0988	-2338.128458	2.99344	False	ok
104557at33090	6	a_halleri	5..1	0.042	1006.8	376.2	0.1538	0.0056	0.0367	-2338.128458	2.99344	True	ok
