# BUSCO version is: 5.1.2 
# The lineage dataset is: viridiplantae_odb10 (Creation date: 2024-01-08, number of genomes: 57, number of BUSCOs: 425)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
2at33090	Complete	AT1G67120.2	4250.6	3786	https://v10-1.orthodb.org/?query=2at33090	Midasin AAA lid domain 5
5at33090	Complete	AT5G23110.1	5355.1	3755	https://v10-1.orthodb.org/?query=5at33090	Zinc finger, RING/FYVE/PHD-type
24at33090	Complete	AT3G02260.1	5562.5	3609	https://v10-1.orthodb.org/?query=24at33090	Zinc finger, ZZ-type
255at33090	Complete	AT1G64790.2	3341.0	2176	https://v10-1.orthodb.org/?query=255at33090	Translational activator Gcn1
383at33090	Complete	AT2G46560.1	1753.4	1506	https://v10-1.orthodb.org/?query=383at33090	WD40-repeat-containing domain
1363at33090	Complete	AT1G71220.3	1625.5	1127	https://v10-1.orthodb.org/?query=1363at33090	UDP-glucose:Glycoprotein Glucosyltransferase
1419at33090	Complete	AT5G58410.1	1855.6	1497	https://v10-1.orthodb.org/?query=1419at33090	Zinc finger, RING-type
1557at33090	Complete	AT1G68890.1	1371.3	1011	https://v10-1.orthodb.org/?query=1557at33090	Thiamine pyrophosphate enzyme, C-terminal TPP-binding
1855at33090	Complete	AT3G55160.2	2297.1	1680	https://v10-1.orthodb.org/?query=1855at33090	Armadillo-type fold
4004at33090	Complete	AT3G11960.3	1617.2	1092	https://v10-1.orthodb.org/?query=4004at33090	WD40/YVTN repeat-like-containing domain superfamily
4034at33090	Complete	AT1G73960.1	1444.3	1055	https://v10-1.orthodb.org/?query=4034at33090	Transcription initiation factor TFIID subunit 2
4115at33090	Complete	AT3G54440.3	1400.2	884	https://v10-1.orthodb.org/?query=4115at33090	Glycoside hydrolase, family 2
5305at33090	Complete	AT3G54460.1	1194.4	815	https://v10-1.orthodb.org/?query=5305at33090	SNF2-related, N-terminal domain
5927at33090	Complete	AT1G79190.2	1282.3	964	https://v10-1.orthodb.org/?query=5927at33090	Armadillo-type fold
6512at33090	Complete	AT5G52910.2	885.9	765	https://v10-1.orthodb.org/?query=6512at33090	Timeless protein
6843at33090	Complete	AT1G56500.1	1399.1	825	https://v10-1.orthodb.org/?query=6843at33090	NHL repeat
7366at33090	Complete	AT5G49930.1	1369.7	844	https://v10-1.orthodb.org/?query=7366at33090	Zinc finger, CCHC-type
8072at33090	Complete	AT5G62600.1	1221.3	815	https://v10-1.orthodb.org/?query=8072at33090	Exportin-1/Importin-beta-like
9044at33090	Complete	AT1G01220.1	1385.6	867	https://v10-1.orthodb.org/?query=9044at33090	GHMP kinase, C-terminal domain
9058at33090	Complete	AT3G28030.3	1019.8	1014	https://v10-1.orthodb.org/?query=9058at33090	XPG/Rad2 endonuclease
9849at33090	Complete	AT5G48120.1	820.1	823	https://v10-1.orthodb.org/?query=9849at33090	MMS19, C-terminal
10924at33090	Complete	AT5G04360.2	1171.3	728	https://v10-1.orthodb.org/?query=10924at33090	Alpha-1,6-glucosidases, pullulanase-type
11664at33090	Complete	AT3G10690.1	1092.3	686	https://v10-1.orthodb.org/?query=11664at33090	DNA topoisomerase, type IIA, subunit A/C-terminal
11800at33090	Complete	AT5G37830.1	1967.1	1061	https://v10-1.orthodb.org/?query=11800at33090	Hydantoinase A/oxoprolinase
12439at33090	Complete	AT4G04940.1	1212.1	744	https://v10-1.orthodb.org/?query=12439at33090	WD40 repeat
13039at33090	Complete	AT4G04350.1	1278.9	711	https://v10-1.orthodb.org/?query=13039at33090	Aminoacyl-tRNA synthetase, class Ia
13643at33090	Complete	AT5G51430.1	1097.4	713	https://v10-1.orthodb.org/?query=13643at33090	Conserved oligomeric Golgi complex subunit 7
15682at33090	Complete	AT2G13540.1	1020.3	684	https://v10-1.orthodb.org/?query=15682at33090	MIF4G-like, type 1
16726at33090	Complete	AT1G03000.1	1059.2	704	https://v10-1.orthodb.org/?query=16726at33090	ATPase, AAA-type, conserved site
18455at33090	Complete	AT3G18860.1	902.6	618	https://v10-1.orthodb.org/?query=18455at33090	WD40-repeat-containing domain
18801at33090	Complete	AT5G37630.1	1058.7	848	https://v10-1.orthodb.org/?query=18801at33090	Condensin complex subunit 3
21163at33090	Complete	AT2G04270.5	1095.7	673	https://v10-1.orthodb.org/?query=21163at33090	Carbohydrate binding module family 20
21751at33090	Complete	AT3G48110.1	1407.0	820	https://v10-1.orthodb.org/?query=21751at33090	Glycine-tRNA ligase, alpha subunit
21857at33090	Complete	AT4G21530.1	708.3	553	https://v10-1.orthodb.org/?query=21857at33090	Anaphase-promoting complex subunit 4
22109at33090	Complete	AT5G50210.1	722.4	430	https://v10-1.orthodb.org/?query=22109at33090	Quinolinate synthetase A
22618at33090	Complete	AT2G30600.5	863.5	647	https://v10-1.orthodb.org/?query=22618at33090	BTB/POZ domain
22958at33090	Complete	AT3G04260.1	1077.8	715	https://v10-1.orthodb.org/?query=22958at33090	SAP domain
23444at33090	Complete	AT1G72320.1	571.4	437	https://v10-1.orthodb.org/?query=23444at33090	Pumilio RNA-binding repeat
23853at33090	Complete	AT1G03160.1	829.8	630	https://v10-1.orthodb.org/?query=23853at33090	GTP binding domain
24838at33090	Complete	AT5G23080.1	923.9	702	https://v10-1.orthodb.org/?query=24838at33090	G patch domain-containing protein, N-terminal
25435at33090	Complete	AT1G04730.1	1027.2	759	https://v10-1.orthodb.org/?query=25435at33090	ATPase, AAA-type, core
26868at33090	Complete	AT5G01310.1	785.5	537	https://v10-1.orthodb.org/?query=26868at33090	Aprataxin, C2HE/C2H2/C2HC zinc finger
27237at33090	Complete	AT5G02250.1	945.6	624	https://v10-1.orthodb.org/?query=27237at33090	Nucleic acid-binding, OB-fold
27607at33090	Complete	AT3G51050.1	803.7	550	https://v10-1.orthodb.org/?query=27607at33090	FG-GAP repeat-containing protein
28920at33090	Complete	AT3G09660.1	868.4	521	https://v10-1.orthodb.org/?query=28920at33090	MCM domain
31155at33090	Complete	AT2G11000.1	825.1	597	https://v10-1.orthodb.org/?query=31155at33090	-alpha-acetyltransferase 35, NatC auxiliary subunit
