# BUSCO version is: 5.1.2 
# The lineage dataset is: viridiplantae_odb10 (Creation date: 2024-01-08, number of genomes: 57, number of BUSCOs: 425)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
2at33090	Duplicated	Cagra.6164s0004.1.p	4070.6	3463	https://v10-1.orthodb.org/?query=2at33090	Midasin AAA lid domain 5
2at33090	Duplicated	Cagra.9783s0002.1.p	4043.3	3444	https://v10-1.orthodb.org/?query=2at33090	Midasin AAA lid domain 5
5at33090	Complete	Cagra.5163s0009.1.p	5343.4	3742	https://v10-1.orthodb.org/?query=5at33090	Zinc finger, RING/FYVE/PHD-type
24at33090	Complete	Cagra.3823s0026.1.p	5599.2	3608	https://v10-1.orthodb.org/?query=24at33090	Zinc finger, ZZ-type
255at33090	Complete	Cagra.7355s0003.1.p	3444.6	2212	https://v10-1.orthodb.org/?query=255at33090	Translational activator Gcn1
383at33090	Complete	Cagra.0050s0042.1.p	1788.8	1538	https://v10-1.orthodb.org/?query=383at33090	WD40-repeat-containing domain
1363at33090	Complete	Cagra.0147s0020.1.p	1624.0	1134	https://v10-1.orthodb.org/?query=1363at33090	UDP-glucose:Glycoprotein Glucosyltransferase
1419at33090	Complete	Cagra.0891s0035.1.p	1870.6	1517	https://v10-1.orthodb.org/?query=1419at33090	Zinc finger, RING-type
1557at33090	Complete	Cagra.1157s0013.1.p	1376.9	1006	https://v10-1.orthodb.org/?query=1557at33090	Thiamine pyrophosphate enzyme, C-terminal TPP-binding
1855at33090	Complete	Cagra.1742s0004.1.p	2289.3	1679	https://v10-1.orthodb.org/?query=1855at33090	Armadillo-type fold
4004at33090	Complete	Cagra.0430s0025.1.p	1618.8	1108	https://v10-1.orthodb.org/?query=4004at33090	WD40/YVTN repeat-like-containing domain superfamily
4034at33090	Complete	Cagra.0876s0029.1.p	1444.9	1040	https://v10-1.orthodb.org/?query=4034at33090	Transcription initiation factor TFIID subunit 2
4115at33090	Complete	Cagra.0562s0035.1.p	1418.9	900	https://v10-1.orthodb.org/?query=4115at33090	Glycoside hydrolase, family 2
5305at33090	Complete	Cagra.0562s0038.1.p	1192.1	853	https://v10-1.orthodb.org/?query=5305at33090	SNF2-related, N-terminal domain
5927at33090	Complete	Cagra.1361s0066.1.p	1281.9	963	https://v10-1.orthodb.org/?query=5927at33090	Armadillo-type fold
6512at33090	Complete	Cagra.0084s0038.1.p	882.8	741	https://v10-1.orthodb.org/?query=6512at33090	Timeless protein
6843at33090	Complete	Cagra.7917s0001.1.p	1162.2	687	https://v10-1.orthodb.org/?query=6843at33090	NHL repeat
7366at33090	Complete	Cagra.2776s0014.1.p	1372.8	836	https://v10-1.orthodb.org/?query=7366at33090	Zinc finger, CCHC-type
8072at33090	Complete	Cagra.4003s0048.1.p	1232.9	815	https://v10-1.orthodb.org/?query=8072at33090	Exportin-1/Importin-beta-like
9044at33090	Complete	Cagra.3782s0022.1.p	1384.7	863	https://v10-1.orthodb.org/?query=9044at33090	GHMP kinase, C-terminal domain
9058at33090	Complete	Cagra.5146s0004.1.p	1043.9	1086	https://v10-1.orthodb.org/?query=9058at33090	XPG/Rad2 endonuclease
9849at33090	Complete	Cagra.2766s0001.1.p	807.3	773	https://v10-1.orthodb.org/?query=9849at33090	MMS19, C-terminal
10924at33090	Complete	Cagra.9217s0016.1.p	1168.0	728	https://v10-1.orthodb.org/?query=10924at33090	Alpha-1,6-glucosidases, pullulanase-type
11664at33090	Fragmented	Cagra.0834s0010.1.p	377.1	306	https://v10-1.orthodb.org/?query=11664at33090	DNA topoisomerase, type IIA, subunit A/C-terminal
11800at33090	Complete	Cagra.8123s0004.1.p	1961.7	1061	https://v10-1.orthodb.org/?query=11800at33090	Hydantoinase A/oxoprolinase
12439at33090	Fragmented	Cagra.5070s0010.1.p	893.8	567	https://v10-1.orthodb.org/?query=12439at33090	WD40 repeat
13039at33090	Complete	Cagra.4137s0026.1.p	1282.5	711	https://v10-1.orthodb.org/?query=13039at33090	Aminoacyl-tRNA synthetase, class Ia
13643at33090	Complete	Cagra.3782s0015.1.p	1100.7	714	https://v10-1.orthodb.org/?query=13643at33090	Conserved oligomeric Golgi complex subunit 7
15682at33090	Complete	Cagra.0985s0003.1.p	1017.7	685	https://v10-1.orthodb.org/?query=15682at33090	MIF4G-like, type 1
16726at33090	Complete	Cagra.0897s0078.1.p	1060.4	710	https://v10-1.orthodb.org/?query=16726at33090	ATPase, AAA-type, conserved site
18455at33090	Complete	Cagra.1681s0058.1.p	901.7	618	https://v10-1.orthodb.org/?query=18455at33090	WD40-repeat-containing domain
18801at33090	Complete	Cagra.0959s0007.1.p	1058.2	852	https://v10-1.orthodb.org/?query=18801at33090	Condensin complex subunit 3
21163at33090	Complete	Cagra.2387s0001.1.p	1089.5	673	https://v10-1.orthodb.org/?query=21163at33090	Carbohydrate binding module family 20
21751at33090	Complete	Cagra.4239s0008.1.p	1407.9	831	https://v10-1.orthodb.org/?query=21751at33090	Glycine-tRNA ligase, alpha subunit
21857at33090	Complete	Cagra.3519s0004.1.p	640.4	517	https://v10-1.orthodb.org/?query=21857at33090	Anaphase-promoting complex subunit 4
22109at33090	Complete	Cagra.0888s0032.1.p	724.7	430	https://v10-1.orthodb.org/?query=22109at33090	Quinolinate synthetase A
22618at33090	Complete	Cagra.0567s0024.1.p	878.2	642	https://v10-1.orthodb.org/?query=22618at33090	BTB/POZ domain
22958at33090	Complete	Cagra.4031s0044.1.p	1076.7	717	https://v10-1.orthodb.org/?query=22958at33090	SAP domain
23444at33090	Complete	Cagra.1013s0066.1.p	573.0	437	https://v10-1.orthodb.org/?query=23444at33090	Pumilio RNA-binding repeat
23853at33090	Complete	Cagra.0897s0061.1.p	831.1	636	https://v10-1.orthodb.org/?query=23853at33090	GTP binding domain
24838at33090	Complete	Cagra.5163s0006.1.p	926.5	716	https://v10-1.orthodb.org/?query=24838at33090	G patch domain-containing protein, N-terminal
25435at33090	Complete	Cagra.1671s0093.1.p	1018.0	732	https://v10-1.orthodb.org/?query=25435at33090	ATPase, AAA-type, core
26868at33090	Complete	Cagra.4082s0012.1.p	778.5	523	https://v10-1.orthodb.org/?query=26868at33090	Aprataxin, C2HE/C2H2/C2HC zinc finger
27237at33090	Complete	Cagra.0487s0018.1.p	948.8	624	https://v10-1.orthodb.org/?query=27237at33090	Nucleic acid-binding, OB-fold
27607at33090	Complete	Cagra.0926s0070.1.p	807.3	543	https://v10-1.orthodb.org/?query=27607at33090	FG-GAP repeat-containing protein
