gene_id	dataset_index	tip	branch	t	N	S	omega	dN	dS	lnL	kappa	is_terminal	qc_flag
101241at33090	1	c_grandiflora	4..3	0.117	937.4	322.6	0.1009	0.0119	0.1179	-2175.904484	1.63555	True	ok
101241at33090	1		4..5	0.042	937.4	322.6	0.1009	0.0043	0.0427	-2175.904484	1.63555	False	ok
101241at33090	1	a_halleri	5..1	0.034	937.4	322.6	0.1009	0.0035	0.0345	-2175.904484	1.63555	True	ok
101241at33090	1	a_thaliana	5..2	0.067	937.4	322.6	0.093	0.0064	0.0688	-2175.904484	1.63555	True	ok
101701at33090	2	c_grandiflora	4..3	0.058	2012.0	622.0	0.1436	0.008	0.0559	-4819.46665	1.6457	True	ok
101701at33090	2		4..5	0.142	2012.0	622.0	0.1436	0.0197	0.1369	-4819.46665	1.6457	False	ok
101701at33090	2	a_halleri	5..1	0.06	2012.0	622.0	0.1436	0.0084	0.0582	-4819.46665	1.6457	True	ok
101701at33090	2	a_thaliana	5..2	0.077	2012.0	622.0	0.1292	0.0099	0.077	-4819.46665	1.6457	True	ok
102307at33090	3	c_grandiflora	4..3	0.061	774.4	254.6	0.0382	0.0028	0.0733	-1705.373837	1.83304	True	ok
102307at33090	3		4..5	0.127	774.4	254.6	0.0382	0.0059	0.1538	-1705.373837	1.83304	False	ok
102307at33090	3	a_halleri	5..1	0.008	774.4	254.6	0.0382	0.0004	0.0096	-1705.373837	1.83304	True	ok
102307at33090	3	a_thaliana	5..2	0.049	774.4	254.6	0.1383	0.0064	0.0465	-1705.373837	1.83304	True	ok
103267at33090	4	c_grandiflora	4..3	0.096	1416.5	473.5	0.3663	0.0223	0.0608	-3527.576772	2.42013	True	ok
103267at33090	4		4..5	0.091	1416.5	473.5	0.3663	0.0211	0.0576	-3527.576772	2.42013	False	ok
103267at33090	4	a_halleri	5..1	0.055	1416.5	473.5	0.3663	0.0127	0.0348	-3527.576772	2.42013	True	ok
103267at33090	4	a_thaliana	5..2	0.101	1416.5	473.5	0.3394	0.0225	0.0664	-3527.576772	2.42013	True	ok
