gene_id	dataset_index	tip	branch	t	N	S	omega	dN	dS	lnL	kappa	is_terminal	qc_flag
101241at33090	1	c_grandiflora	4..3	0.085	937.4	322.6	0.0987	0.0085	0.086	-2175.915306	1.63646	True	ok
101241at33090	1		4..5	0.075	937.4	322.6	0.0987	0.0074	0.0754	-2175.915306	1.63646	False	ok
101241at33090	1	a_halleri	5..1	0.034	937.4	322.6	0.0987	0.0034	0.0348	-2175.915306	1.63646	True	ok
101241at33090	1	a_thaliana	5..2	0.067	937.4	322.6	0.0987	0.0067	0.0677	-2175.915306	1.63646	True	ok
101701at33090	2	c_grandiflora	4..3	0.108	2012.0	622.0	0.1401	0.0148	0.1053	-4819.518631	1.64555	True	ok
101701at33090	2		4..5	0.092	2012.0	622.0	0.1401	0.0125	0.0893	-4819.518631	1.64555	False	ok
101701at33090	2	a_halleri	5..1	0.061	2012.0	622.0	0.1401	0.0083	0.0589	-4819.518631	1.64555	True	ok
101701at33090	2	a_thaliana	5..2	0.077	2012.0	622.0	0.1401	0.0105	0.0747	-4819.518631	1.64555	True	ok
102307at33090	3	c_grandiflora	4..3	0.046	774.1	254.9	0.0549	0.0029	0.0533	-1707.004549	1.84432	True	ok
102307at33090	3		4..5	0.14	774.1	254.9	0.0549	0.0089	0.1616	-1707.004549	1.84432	False	ok
102307at33090	3	a_halleri	5..1	0.006	774.1	254.9	0.0549	0.0004	0.0074	-1707.004549	1.84432	True	ok
102307at33090	3	a_thaliana	5..2	0.052	774.1	254.9	0.0549	0.0033	0.0597	-1707.004549	1.84432	True	ok
103267at33090	4	c_grandiflora	4..3	0.126	1416.5	473.5	0.3577	0.029	0.0811	-3527.603187	2.42072	True	ok
103267at33090	4		4..5	0.061	1416.5	473.5	0.3577	0.0139	0.0389	-3527.603187	2.42072	False	ok
103267at33090	4	a_halleri	5..1	0.055	1416.5	473.5	0.3577	0.0126	0.0353	-3527.603187	2.42072	True	ok
103267at33090	4	a_thaliana	5..2	0.1	1416.5	473.5	0.3577	0.0231	0.0646	-3527.603187	2.42072	True	ok
103382at33090	5	c_grandiflora	4..3	0.157	830.7	273.3	0.2788	0.0319	0.1143	-2203.148011	2.19523	True	ok
103382at33090	5		4..5	0.108	830.7	273.3	0.2788	0.0219	0.0786	-2203.148011	2.19523	False	ok
103382at33090	5	a_halleri	5..1	0.098	830.7	273.3	0.2788	0.0199	0.0714	-2203.148011	2.19523	True	ok
103382at33090	5	a_thaliana	5..2	0.108	830.7	273.3	0.2788	0.022	0.079	-2203.148011	2.19523	True	ok
104557at33090	6	c_grandiflora	4..3	0.048	1006.8	376.2	0.1538	0.0064	0.0417	-2338.128082	2.99346	True	ok
104557at33090	6		4..5	0.066	1006.8	376.2	0.1538	0.0088	0.0572	-2338.128082	2.99346	False	ok
104557at33090	6	a_halleri	5..1	0.042	1006.8	376.2	0.1538	0.0056	0.0367	-2338.128082	2.99346	True	ok
104557at33090	6	a_thaliana	5..2	0.06	1006.8	376.2	0.1538	0.008	0.052	-2338.128082	2.99346	True	ok
104821at33090	7	c_grandiflora	4..3	0.097	1018.2	310.8	0.1401	0.0132	0.0944	-2331.108294	1.89304	True	ok
104821at33090	7		4..5	0.055	1018.2	310.8	0.1401	0.0075	0.0534	-2331.108294	1.89304	False	ok
104821at33090	7	a_halleri	5..1	0.069	1018.2	310.8	0.1401	0.0095	0.0675	-2331.108294	1.89304	True	ok
104821at33090	7	a_thaliana	5..2	0.081	1018.2	310.8	0.1401	0.0111	0.0794	-2331.108294	1.89304	True	ok
104867at33090	8	c_grandiflora	4..3	0.06	2135.4	612.6	0.1829	0.0099	0.0544	-5039.088516	2.2377	True	ok
104867at33090	8		4..5	0.115	2135.4	612.6	0.1829	0.0193	0.1055	-5039.088516	2.2377	False	ok
104867at33090	8	a_halleri	5..1	0.074	2135.4	612.6	0.1829	0.0123	0.0674	-5039.088516	2.2377	True	ok
104867at33090	8	a_thaliana	5..2	0.088	2135.4	612.6	0.1829	0.0147	0.0804	-5039.088516	2.2377	True	ok
105044at33090	9	c_grandiflora	4..3	0.111	1673.8	489.2	0.0879	0.011	0.1257	-3820.990805	1.26239	True	ok
105044at33090	9		4..5	0.063	1673.8	489.2	0.0879	0.0063	0.0712	-3820.990805	1.26239	False	ok
105044at33090	9	a_halleri	5..1	0.034	1673.8	489.2	0.0879	0.0034	0.039	-3820.990805	1.26239	True	ok
105044at33090	9	a_thaliana	5..2	0.103	1673.8	489.2	0.0879	0.0103	0.1172	-3820.990805	1.26239	True	ok
105782at33090	10	c_grandiflora	4..3	0.075	804.8	284.2	0.1144	0.0083	0.0724	-1797.561745	2.53032	True	ok
105782at33090	10		4..5	0.081	804.8	284.2	0.1144	0.009	0.0783	-1797.561745	2.53032	False	ok
105782at33090	10	a_halleri	5..1	0.019	804.8	284.2	0.1144	0.0021	0.0185	-1797.561745	2.53032	True	ok
105782at33090	10	a_thaliana	5..2	0.043	804.8	284.2	0.1144	0.0047	0.0414	-1797.561745	2.53032	True	ok
105867at33090	11	c_grandiflora	4..3	0.06	949.3	331.7	0.0789	0.0049	0.0626	-2237.490888	2.41594	True	ok
105867at33090	11		4..5	0.117	949.3	331.7	0.0789	0.0097	0.123	-2237.490888	2.41594	False	ok
105867at33090	11	a_halleri	5..1	0.057	949.3	331.7	0.0789	0.0047	0.0599	-2237.490888	2.41594	True	ok
105867at33090	11	a_thaliana	5..2	0.075	949.3	331.7	0.0789	0.0062	0.0785	-2237.490888	2.41594	True	ok
106769at33090	12	c_grandiflora	4..3	0.054	865.2	283.8	0.0823	0.0048	0.0586	-1980.494866	2.11476	True	ok
106769at33090	12		4..5	0.049	865.2	283.8	0.0823	0.0044	0.053	-1980.494866	2.11476	False	ok
106769at33090	12	a_halleri	5..1	0.084	865.2	283.8	0.0823	0.0074	0.0904	-1980.494866	2.11476	True	ok
106769at33090	12	a_thaliana	5..2	0.076	865.2	283.8	0.0823	0.0067	0.082	-1980.494866	2.11476	True	ok
106886at33090	13	c_grandiflora	4..3	0.112	980.5	261.5	0.0408	0.0063	0.1537	-2210.151021	1.55589	True	ok
106886at33090	13		4..5	0.078	980.5	261.5	0.0408	0.0044	0.1071	-2210.151021	1.55589	False	ok
106886at33090	13	a_halleri	5..1	0.037	980.5	261.5	0.0408	0.0021	0.051	-2210.151021	1.55589	True	ok
106886at33090	13	a_thaliana	5..2	0.16	980.5	261.5	0.0408	0.009	0.2199	-2210.151021	1.55589	True	ok
107107at33090	14	c_grandiflora	4..3	0.114	1180.9	343.1	0.3031	0.025	0.0824	-2882.356657	1.41426	True	ok
107107at33090	14		4..5	0.086	1180.9	343.1	0.3031	0.0189	0.0625	-2882.356657	1.41426	False	ok
107107at33090	14	a_halleri	5..1	0.081	1180.9	343.1	0.3031	0.0179	0.059	-2882.356657	1.41426	True	ok
107107at33090	14	a_thaliana	5..2	0.084	1180.9	343.1	0.3031	0.0184	0.0608	-2882.356657	1.41426	True	ok
108705at33090	15	c_grandiflora	4..3	0.055	1017.7	377.3	0.1658	0.0078	0.047	-2600.13194	1.83816	True	ok
108705at33090	15		4..5	0.115	1017.7	377.3	0.1658	0.0162	0.0976	-2600.13194	1.83816	False	ok
108705at33090	15	a_halleri	5..1	0.088	1017.7	377.3	0.1658	0.0124	0.0749	-2600.13194	1.83816	True	ok
108705at33090	15	a_thaliana	5..2	0.103	1017.7	377.3	0.1658	0.0146	0.0881	-2600.13194	1.83816	True	ok
10924at33090	16	c_grandiflora	4..3	0.053	2197.6	694.4	0.2085	0.0092	0.0441	-5047.107418	1.95617	True	ok
10924at33090	16		4..5	0.115	2197.6	694.4	0.2085	0.0201	0.0962	-5047.107418	1.95617	False	ok
10924at33090	16	a_halleri	5..1	0.045	2197.6	694.4	0.2085	0.0079	0.0377	-5047.107418	1.95617	True	ok
10924at33090	16	a_thaliana	5..2	0.042	2197.6	694.4	0.2085	0.0074	0.0353	-5047.107418	1.95617	True	ok
109586at33090	17	c_grandiflora	4..3	0.078	1150.1	391.9	0.1374	0.01	0.0725	-2772.028041	1.67477	True	ok
109586at33090	17		4..5	0.079	1150.1	391.9	0.1374	0.0101	0.0735	-2772.028041	1.67477	False	ok
109586at33090	17	a_halleri	5..1	0.045	1150.1	391.9	0.1374	0.0058	0.042	-2772.028041	1.67477	True	ok
109586at33090	17	a_thaliana	5..2	0.107	1150.1	391.9	0.1374	0.0138	0.1004	-2772.028041	1.67477	True	ok
109823at33090	18	c_grandiflora	4..3	0.105	771.2	296.8	0.1136	0.0111	0.0976	-1825.984601	2.70858	True	ok
109823at33090	18		4..5	0.079	771.2	296.8	0.1136	0.0083	0.0729	-1825.984601	2.70858	False	ok
109823at33090	18	a_halleri	5..1	0.027	771.2	296.8	0.1136	0.0029	0.0253	-1825.984601	2.70858	True	ok
109823at33090	18	a_thaliana	5..2	0.041	771.2	296.8	0.1136	0.0043	0.0382	-1825.984601	2.70858	True	ok
110222at33090	19	c_grandiflora	4..3	0.113	1373.0	391.0	0.1894	0.0193	0.1021	-3257.884513	1.42036	True	ok
110222at33090	19		4..5	0.125	1373.0	391.0	0.1894	0.0214	0.1132	-3257.884513	1.42036	False	ok
110222at33090	19	a_halleri	5..1	0.059	1373.0	391.0	0.1894	0.0102	0.0536	-3257.884513	1.42036	True	ok
110222at33090	19	a_thaliana	5..2	0.08	1373.0	391.0	0.1894	0.0136	0.0718	-3257.884513	1.42036	True	ok
111210at33090	20	c_grandiflora	4..3	0.13	826.4	268.6	0.1268	0.0162	0.1274	-1910.152495	1.9172	True	ok
111210at33090	20		4..5	0.073	826.4	268.6	0.1268	0.009	0.0713	-1910.152495	1.9172	False	ok
111210at33090	20	a_halleri	5..1	0.039	826.4	268.6	0.1268	0.0048	0.0377	-1910.152495	1.9172	True	ok
111210at33090	20	a_thaliana	5..2	0.045	826.4	268.6	0.1268	0.0056	0.0444	-1910.152495	1.9172	True	ok
111213at33090	1	c_grandiflora	4..3	0.027	746.6	294.4	0.1573	0.0035	0.0225	-1813.035312	2.39095	True	ok
111213at33090	1		4..5	0.091	746.6	294.4	0.1573	0.0121	0.0769	-1813.035312	2.39095	False	ok
111213at33090	1	a_halleri	5..1	0.067	746.6	294.4	0.1573	0.0089	0.0568	-1813.035312	2.39095	True	ok
111213at33090	1	a_thaliana	5..2	0.063	746.6	294.4	0.1573	0.0083	0.0528	-1813.035312	2.39095	True	ok
111249at33090	2	c_grandiflora	4..3	0.164	911.9	297.1	0.2748	0.0331	0.1205	-2392.521993	1.49689	True	ok
111249at33090	2		4..5	0.126	911.9	297.1	0.2748	0.0254	0.0926	-2392.521993	1.49689	False	ok
111249at33090	2	a_halleri	5..1	0.067	911.9	297.1	0.2748	0.0135	0.0491	-2392.521993	1.49689	True	ok
111249at33090	2	a_thaliana	5..2	0.11	911.9	297.1	0.2748	0.0222	0.0808	-2392.521993	1.49689	True	ok
