gene_id	dataset_index	tip	branch	t	N	S	omega	dN	dS	lnL	kappa	is_terminal	qc_flag
101241at33090	1	c_grandiflora	4..3	0.084	937.2	322.8	0.1077	0.0089	0.083	-2175.504259	1.64054	True	ok
101241at33090	1		4..5	0.075	937.2	322.8	0.1077	0.008	0.0742	-2175.504259	1.64054	False	ok
101241at33090	1	a_halleri	5..1	0.036	937.2	322.8	0.0526	0.0021	0.0402	-2175.504259	1.64054	True	ok
101241at33090	1	a_thaliana	5..2	0.066	937.2	322.8	0.1077	0.0071	0.0655	-2175.504259	1.64054	True	ok
101701at33090	2	c_grandiflora	4..3	0.117	2012.1	621.9	0.1429	0.0162	0.1132	-4819.474764	1.64449	True	ok
101701at33090	2		4..5	0.083	2012.1	621.9	0.1429	0.0114	0.08	-4819.474764	1.64449	False	ok
101701at33090	2	a_halleri	5..1	0.061	2012.1	621.9	0.1284	0.0078	0.0608	-4819.474764	1.64449	True	ok
101701at33090	2	a_thaliana	5..2	0.077	2012.1	621.9	0.1429	0.0106	0.074	-4819.474764	1.64449	True	ok
102307at33090	3	c_grandiflora	4..3	0.082	774.4	254.6	0.0573	0.0054	0.0941	-1706.628473	1.82947	True	ok
102307at33090	3		4..5	0.103	774.4	254.6	0.0573	0.0068	0.1182	-1706.628473	1.82947	False	ok
102307at33090	3	a_halleri	5..1	0.008	774.4	254.6	0.0001	0.0	0.0105	-1706.628473	1.82947	True	omega_boundary
102307at33090	3	a_thaliana	5..2	0.051	774.4	254.6	0.0573	0.0033	0.058	-1706.628473	1.82947	True	ok
103267at33090	4	c_grandiflora	4..3	0.074	1416.5	473.5	0.3369	0.0164	0.0488	-3527.253989	2.4209	True	ok
103267at33090	4		4..5	0.114	1416.5	473.5	0.3369	0.0253	0.0752	-3527.253989	2.4209	False	ok
103267at33090	4	a_halleri	5..1	0.054	1416.5	473.5	0.4835	0.0142	0.0294	-3527.253989	2.4209	True	ok
103267at33090	4	a_thaliana	5..2	0.101	1416.5	473.5	0.3369	0.0225	0.0669	-3527.253989	2.4209	True	ok
103382at33090	5	c_grandiflora	4..3	0.156	830.6	273.4	0.2673	0.031	0.1159	-2203.052281	2.19976	True	ok
103382at33090	5		4..5	0.11	830.6	273.4	0.2673	0.0218	0.0814	-2203.052281	2.19976	False	ok
103382at33090	5	a_halleri	5..1	0.097	830.6	273.4	0.3242	0.0213	0.0656	-2203.052281	2.19976	True	ok
103382at33090	5	a_thaliana	5..2	0.109	830.6	273.4	0.2673	0.0217	0.0811	-2203.052281	2.19976	True	ok
104557at33090	6	c_grandiflora	4..3	0.06	1006.8	376.2	0.1509	0.0078	0.052	-2338.11622	2.99545	True	ok
104557at33090	6		4..5	0.054	1006.8	376.2	0.1509	0.0072	0.0475	-2338.11622	2.99545	False	ok
104557at33090	6	a_halleri	5..1	0.042	1006.8	376.2	0.1654	0.0059	0.0358	-2338.11622	2.99545	True	ok
104557at33090	6	a_thaliana	5..2	0.06	1006.8	376.2	0.1509	0.0079	0.0523	-2338.11622	2.99545	True	ok
104821at33090	7	c_grandiflora	4..3	0.083	1018.0	311.0	0.1344	0.011	0.0822	-2331.050137	1.89942	True	ok
104821at33090	7		4..5	0.069	1018.0	311.0	0.1344	0.0091	0.068	-2331.050137	1.89942	False	ok
104821at33090	7	a_halleri	5..1	0.068	1018.0	311.0	0.1597	0.0102	0.064	-2331.050137	1.89942	True	ok
104821at33090	7	a_thaliana	5..2	0.082	1018.0	311.0	0.1344	0.0109	0.0808	-2331.050137	1.89942	True	ok
104867at33090	8	c_grandiflora	4..3	0.068	2135.4	612.6	0.177	0.0111	0.0626	-5038.988941	2.23836	True	ok
104867at33090	8		4..5	0.108	2135.4	612.6	0.177	0.0176	0.0996	-5038.988941	2.23836	False	ok
104867at33090	8	a_halleri	5..1	0.073	2135.4	612.6	0.2045	0.0131	0.064	-5038.988941	2.23836	True	ok
104867at33090	8	a_thaliana	5..2	0.088	2135.4	612.6	0.177	0.0145	0.0818	-5038.988941	2.23836	True	ok
105044at33090	9	c_grandiflora	4..3	0.087	1673.8	489.2	0.0887	0.0087	0.0986	-3820.980913	1.2627	True	ok
105044at33090	9		4..5	0.086	1673.8	489.2	0.0887	0.0087	0.0977	-3820.980913	1.2627	False	ok
105044at33090	9	a_halleri	5..1	0.035	1673.8	489.2	0.0818	0.0033	0.0399	-3820.980913	1.2627	True	ok
105044at33090	9	a_thaliana	5..2	0.103	1673.8	489.2	0.0887	0.0104	0.1168	-3820.980913	1.2627	True	ok
105782at33090	10	c_grandiflora	4..3	0.086	804.8	284.2	0.1114	0.0093	0.0831	-1797.523356	2.52762	True	ok
105782at33090	10		4..5	0.071	804.8	284.2	0.1114	0.0077	0.0688	-1797.523356	2.52762	False	ok
105782at33090	10	a_halleri	5..1	0.019	804.8	284.2	0.1462	0.0025	0.017	-1797.523356	2.52762	True	ok
105782at33090	10	a_thaliana	5..2	0.043	804.8	284.2	0.1114	0.0047	0.0419	-1797.523356	2.52762	True	ok
105867at33090	11	c_grandiflora	4..3	0.097	949.3	331.7	0.0648	0.0068	0.1054	-2236.360032	2.40996	True	ok
105867at33090	11		4..5	0.083	949.3	331.7	0.0648	0.0058	0.09	-2236.360032	2.40996	False	ok
