species	gene_id	N	S	dN	dS	omega	t	qc_flag	used	excl_reason
a_halleri	101241at33090	937.2	322.8	0.00210	0.04020	0.05260	0.03600	ok	1	
a_halleri	101701at33090	2012.1	621.9	0.00780	0.06080	0.12840	0.06100	ok	1	
a_halleri	102307at33090	774.4	254.6	0.00000	0.01050	0.00010	0.00800	omega_boundary	1	
a_halleri	103267at33090	1416.5	473.5	0.01420	0.02940	0.48350	0.05400	ok	1	
a_halleri	103382at33090	830.6	273.4	0.02130	0.06560	0.32420	0.09700	ok	1	
a_halleri	104557at33090	1006.8	376.2	0.00590	0.03580	0.16540	0.04200	ok	1	
a_halleri	104821at33090	1018.0	311.0	0.01020	0.06400	0.15970	0.06800	ok	1	
a_halleri	104867at33090	2135.4	612.6	0.01310	0.06400	0.20450	0.07300	ok	1	
a_halleri	105044at33090	1673.8	489.2	0.00330	0.03990	0.08180	0.03500	ok	1	
a_halleri	105782at33090	804.8	284.2	0.00250	0.01700	0.14620	0.01900	ok	1	
a_halleri	105867at33090	949.3	331.7	0.00740	0.04700	0.15780	0.05300	ok	1	
a_halleri	106769at33090	865.3	283.7	0.00820	0.08730	0.09370	0.08300	ok	1	
a_halleri	106886at33090	980.8	261.2	0.00000	0.06870	0.00010	0.04300	omega_boundary	1	
a_halleri	107107at33090	1180.6	343.4	0.01340	0.07790	0.17200	0.08400	ok	1	
a_halleri	108705at33090	1017.7	377.3	0.01210	0.07590	0.15990	0.08800	ok	1	
a_halleri	10924at33090	2197.5	694.5	0.00810	0.03680	0.21890	0.04500	ok	1	
a_halleri	109586at33090	1150.3	391.7	0.00410	0.04860	0.08360	0.04600	ok	1	
a_halleri	109823at33090	771.2	296.8	0.00260	0.02640	0.09740	0.02800	ok	1	
a_halleri	110222at33090	1373.0	391.0	0.01010	0.05400	0.18690	0.05900	ok	1	
a_halleri	111210at33090	826.5	268.5	0.00360	0.04340	0.08260	0.04000	ok	1	
a_halleri	111213at33090	746.6	294.4	0.00970	0.05410	0.18020	0.06700	ok	1	
