# BUSCO version is: 5.1.2 
# The lineage dataset is: viridiplantae_odb10 (Creation date: 2024-01-08, number of genomes: 57, number of BUSCOs: 425)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
2at33090	Complete	Ah2G16740.2	4279.5	3716	https://v10-1.orthodb.org/?query=2at33090	Midasin AAA lid domain 5
5at33090	Missing
24at33090	Complete	Ah3G06460.4	5568.4	3597	https://v10-1.orthodb.org/?query=24at33090	Zinc finger, ZZ-type
255at33090	Complete	Ah5U00140.2	3447.1	2213	https://v10-1.orthodb.org/?query=255at33090	Translational activator Gcn1
383at33090	Missing
1363at33090	Complete	Ah2G22240.3	1628.4	1122	https://v10-1.orthodb.org/?query=1363at33090	UDP-glucose:Glycoprotein Glucosyltransferase
1419at33090	Complete	Ah8G24780.2	1871.4	1520	https://v10-1.orthodb.org/?query=1419at33090	Zinc finger, RING-type
1557at33090	Complete	Ah2G19190.1	1377.4	1013	https://v10-1.orthodb.org/?query=1557at33090	Thiamine pyrophosphate enzyme, C-terminal TPP-binding
1855at33090	Complete	Ah5G25480.1	2291.1	1679	https://v10-1.orthodb.org/?query=1855at33090	Armadillo-type fold
4004at33090	Duplicated	Ah7G21420.1	180.4	723	https://v10-1.orthodb.org/?query=4004at33090	WD40/YVTN repeat-like-containing domain superfamily
4004at33090	Duplicated	Ah6G40120.1	173.3	726	https://v10-1.orthodb.org/?query=4004at33090	WD40/YVTN repeat-like-containing domain superfamily
4004at33090	Duplicated	Ah5G25540.1	170.3	783	https://v10-1.orthodb.org/?query=4004at33090	WD40/YVTN repeat-like-containing domain superfamily
4004at33090	Duplicated	Ah5G25520.1	168.3	827	https://v10-1.orthodb.org/?query=4004at33090	WD40/YVTN repeat-like-containing domain superfamily
4034at33090	Complete	Ah2G25200.1	1450.7	1051	https://v10-1.orthodb.org/?query=4034at33090	Transcription initiation factor TFIID subunit 2
4115at33090	Complete	Ah5G24700.3	1414.1	876	https://v10-1.orthodb.org/?query=4115at33090	Glycoside hydrolase, family 2
5305at33090	Complete	Ah4G28890.1	100.6	539	https://v10-1.orthodb.org/?query=5305at33090	SNF2-related, N-terminal domain
5927at33090	Complete	Ah2G31810.2	1280.1	967	https://v10-1.orthodb.org/?query=5927at33090	Armadillo-type fold
6512at33090	Complete	Ah8G17650.1	891.3	764	https://v10-1.orthodb.org/?query=6512at33090	Timeless protein
6843at33090	Complete	Ah2G10040.1	1401.4	827	https://v10-1.orthodb.org/?query=6843at33090	NHL repeat
7366at33090	Complete	Ah8G13470.1	1376.7	839	https://v10-1.orthodb.org/?query=7366at33090	Zinc finger, CCHC-type
8072at33090	Complete	Ah8G29640.1	1232.8	815	https://v10-1.orthodb.org/?query=8072at33090	Exportin-1/Importin-beta-like
9044at33090	Complete	Ah1G00930.7	1387.8	867	https://v10-1.orthodb.org/?query=9044at33090	GHMP kinase, C-terminal domain
9058at33090	Complete	Ah5G07100.2	1027.8	1095	https://v10-1.orthodb.org/?query=9058at33090	XPG/Rad2 endonuclease
9849at33090	Complete	Ah8G10440.1	821.8	787	https://v10-1.orthodb.org/?query=9849at33090	MMS19, C-terminal
10924at33090	Complete	Ah6G04160.2	1171.2	728	https://v10-1.orthodb.org/?query=10924at33090	Alpha-1,6-glucosidases, pullulanase-type
11664at33090	Complete	Ah3G11730.1	1084.0	688	https://v10-1.orthodb.org/?query=11664at33090	DNA topoisomerase, type IIA, subunit A/C-terminal
11800at33090	Complete	Ah7G36910.1	1963.7	1061	https://v10-1.orthodb.org/?query=11800at33090	Hydantoinase A/oxoprolinase
12439at33090	Missing
13039at33090	Complete	Ah6G38960.1	1278.8	711	https://v10-1.orthodb.org/?query=13039at33090	Aminoacyl-tRNA synthetase, class Ia
13643at33090	Complete	Ah8G15430.1	1102.8	714	https://v10-1.orthodb.org/?query=13643at33090	Conserved oligomeric Golgi complex subunit 7
15682at33090	Complete	Ah3G35420.1	1022.8	684	https://v10-1.orthodb.org/?query=15682at33090	MIF4G-like, type 1
16726at33090	Complete	Ah1G02410.1	1064.9	713	https://v10-1.orthodb.org/?query=16726at33090	ATPase, AAA-type, conserved site
18455at33090	Complete	Ah3G22830.1	902.6	618	https://v10-1.orthodb.org/?query=18455at33090	WD40-repeat-containing domain
18801at33090	Complete	Ah7G36560.1	1065.1	844	https://v10-1.orthodb.org/?query=18801at33090	Condensin complex subunit 3
21163at33090	Complete	Ah3G32260.6	1096.1	679	https://v10-1.orthodb.org/?query=21163at33090	Carbohydrate binding module family 20
21751at33090	Complete	Ah5G16730.1	1407.9	836	https://v10-1.orthodb.org/?query=21751at33090	Glycine-tRNA ligase, alpha subunit
21857at33090	Complete	Ah7G20840.1	709.2	549	https://v10-1.orthodb.org/?query=21857at33090	Anaphase-promoting complex subunit 4
22109at33090	Complete	Ah8G13850.1	727.1	430	https://v10-1.orthodb.org/?query=22109at33090	Quinolinate synthetase A
22618at33090	Complete	Ah4G15630.6	855.1	637	https://v10-1.orthodb.org/?query=22618at33090	BTB/POZ domain
22958at33090	Complete	Ah3G04010.1	1078.8	711	https://v10-1.orthodb.org/?query=22958at33090	SAP domain
23444at33090	Complete	Ah2G23410.3	573.5	437	https://v10-1.orthodb.org/?query=23444at33090	Pumilio RNA-binding repeat
23853at33090	Complete	Ah1G02590.2	824.0	642	https://v10-1.orthodb.org/?query=23853at33090	GTP binding domain
24838at33090	Complete	Ah6G24880.1	936.2	715	https://v10-1.orthodb.org/?query=24838at33090	G patch domain-containing protein, N-terminal
25435at33090	Complete	Ah1G04460.1	1026.4	733	https://v10-1.orthodb.org/?query=25435at33090	ATPase, AAA-type, core
26868at33090	Complete	Ah6G00890.1	786.2	509	https://v10-1.orthodb.org/?query=26868at33090	Aprataxin, C2HE/C2H2/C2HC zinc finger
27237at33090	Complete	Ah6G00220.1	947.0	624	https://v10-1.orthodb.org/?query=27237at33090	Nucleic acid-binding, OB-fold
27607at33090	Complete	Ah5G20410.1	803.2	550	https://v10-1.orthodb.org/?query=27607at33090	FG-GAP repeat-containing protein
28920at33090	Complete	Ah3G10490.1	866.1	521	https://v10-1.orthodb.org/?query=28920at33090	MCM domain
31155at33090	Duplicated	Ah3G34930.1	837.2	596	https://v10-1.orthodb.org/?query=31155at33090	-alpha-acetyltransferase 35, NatC auxiliary subunit
31155at33090	Duplicated	Ah3G34860.1	825.8	601	https://v10-1.orthodb.org/?query=31155at33090	-alpha-acetyltransferase 35, NatC auxiliary subunit
31855at33090	Complete	Ah5G00280.2	965.1	549	https://v10-1.orthodb.org/?query=31855at33090	ABC-2 type transporter
32730at33090	Complete	Ah6G10390.1	665.2	433	https://v10-1.orthodb.org/?query=32730at33090	THO complex, subunit THOC1
32923at33090	Complete	Ah8G02580.1	1208.1	693	https://v10-1.orthodb.org/?query=32923at33090	Ubiquitin-like modifier-activating enzyme Atg7
33264at33090	Complete	Ah6G16490.1	712.9	454	https://v10-1.orthodb.org/?query=33264at33090	Tyrosyl-DNA phosphodiesterase I
34517at33090	Complete	Ah2G17860.1	987.8	663	https://v10-1.orthodb.org/?query=34517at33090	Conserved oligomeric Golgi complex subunit 5
35499at33090	Complete	Ah7G09250.1	933.8	561	https://v10-1.orthodb.org/?query=35499at33090	FAD/NAD(P)-binding domain
35887at33090	Complete	Ah6G18130.1	756.5	567	https://v10-1.orthodb.org/?query=35887at33090	Rad4 beta-hairpin domain 1
36284at33090	Complete	Ah3G23990.2	1095.7	614	https://v10-1.orthodb.org/?query=36284at33090	Dynamin superfamily
37663at33090	Complete	Ah6G23100.1	847.4	531	https://v10-1.orthodb.org/?query=37663at33090	MoeA, C-terminal, domain IV
37699at33090	Complete	Ah3G20140.1	893.2	599	https://v10-1.orthodb.org/?query=37699at33090	ATP-dependent RNA helicase DEAD-box, conserved site
39913at33090	Complete	Ah8G27350.1	1064.1	545	https://v10-1.orthodb.org/?query=39913at33090	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase, bacterial-type
40630at33090	Complete	Ah7G26900.1	972.2	614	https://v10-1.orthodb.org/?query=40630at33090	Helicase, C-terminal
41146at33090	Complete	Ah4G32180.1	814.5	451	https://v10-1.orthodb.org/?query=41146at33090	Electron transfer flavoprotein-ubiquinone oxidoreductase, mitochondrial
41244at33090	Complete	Ah7G14000.1	763.6	437	https://v10-1.orthodb.org/?query=41244at33090	Imidazole glycerol phosphate synthase hisHF
42407at33090	Complete	Ah3G24130.1	903.3	622	https://v10-1.orthodb.org/?query=42407at33090	WW domain
43683at33090	Complete	Ah4G29010.2	772.6	506	https://v10-1.orthodb.org/?query=43683at33090	PPM-type phosphatase domain
43957at33090	Complete	Ah1G17950.1	1073.8	694	https://v10-1.orthodb.org/?query=43957at33090	WD40 repeat
44063at33090	Complete	Ah8G32390.1	745.2	430	https://v10-1.orthodb.org/?query=44063at33090	4-alpha-glucanotransferase
44526at33090	Complete	Ah3G00030.1	733.4	505	https://v10-1.orthodb.org/?query=44526at33090	GPI transamidase component PIG-T
46307at33090	Complete	Ah7G05130.1	849.1	447	https://v10-1.orthodb.org/?query=46307at33090	Acetyl-coenzyme A carboxyltransferase, C-terminal
48027at33090	Complete	Ah8G31410.1	824.2	427	https://v10-1.orthodb.org/?query=48027at33090	Aminoacyl-tRNA synthetase, class I, anticodon-binding
48290at33090	Complete	Ah5G17160.2	747.6	461	https://v10-1.orthodb.org/?query=48290at33090	Peptidase C78, ubiquitin fold modifier-specific peptidase 1/ 2
48645at33090	Complete	Ah8G22930.1	667.9	480	https://v10-1.orthodb.org/?query=48645at33090	Cwf19-like, C-terminal domain-1
49092at33090	Complete	Ah8G29560.1	897.7	460	https://v10-1.orthodb.org/?query=49092at33090	Aldehyde dehydrogenase domain
50512at33090	Complete	Ah8G10790.1	395.8	343	https://v10-1.orthodb.org/?query=50512at33090	uncharacterized protein LOC107776719
50528at33090	Complete	Ah6G35240.1	524.7	415	https://v10-1.orthodb.org/?query=50528at33090	Light-mediated development protein DET1
51214at33090	Complete	Ah4G28790.1	636.5	415	https://v10-1.orthodb.org/?query=51214at33090	RNA helicase
51262at33090	Complete	Ah1G32280.1	473.6	405	https://v10-1.orthodb.org/?query=51262at33090	Peroxisomal/glyoxysomal leader peptide-processing protease
52348at33090	Missing
52435at33090	Complete	Ah7G30880.1	927.6	454	https://v10-1.orthodb.org/?query=52435at33090	Amine oxidase
52795at33090	Complete	Ah3G15440.1	740.1	426	https://v10-1.orthodb.org/?query=52795at33090	Lysine--tRNA ligase
53416at33090	Complete	Ah4G33860.1	544.9	361	https://v10-1.orthodb.org/?query=53416at33090	Alpha-1,3-glucosyltransferase
53527at33090	Complete	Ah4G28990.1	1251.8	788	https://v10-1.orthodb.org/?query=53527at33090	Glycoside hydrolase, family 77
55448at33090	Complete	Ah8G17090.1	813.1	420	https://v10-1.orthodb.org/?query=55448at33090	Proline-tRNA ligase, class IIa
57004at33090	Missing
58672at33090	Complete	Ah1G09110.1	457.6	310	https://v10-1.orthodb.org/?query=58672at33090	VDE lipocalin domain
60262at33090	Complete	Ah6G08190.3	616.4	360	https://v10-1.orthodb.org/?query=60262at33090	WD40/YVTN repeat-like-containing domain superfamily
62262at33090	Complete	Ah1G23560.1	411.1	298	https://v10-1.orthodb.org/?query=62262at33090	Pseudouridine synthase, catalytic domain superfamily
63411at33090	Complete	Ah3G30400.1	665.9	370	https://v10-1.orthodb.org/?query=63411at33090	Fe-S cluster assembly domain superfamily
63853at33090	Complete	Ah7G06390.1	659.6	345	https://v10-1.orthodb.org/?query=63853at33090	NAD-dependent epimerase/dehydratase
64272at33090	Complete	Ah2G19430.2	830.3	720	https://v10-1.orthodb.org/?query=64272at33090	Nucleolar protein 14
65263at33090	Complete	Ah8G35610.1	459.9	340	https://v10-1.orthodb.org/?query=65263at33090	P-loop containing nucleoside triphosphate hydrolase
67132at33090	Complete	Ah3G25280.1	841.0	507	https://v10-1.orthodb.org/?query=67132at33090	DNA topoisomerase 6 subunit B
67389at33090	Complete	Ah2G00230.1	552.8	407	https://v10-1.orthodb.org/?query=67389at33090	Ribosomal protein Rsm22-like
68169at33090	Complete	Ah6G05710.1	794.3	638	https://v10-1.orthodb.org/?query=68169at33090	Nucleoporin Nup88
68537at33090	Complete	Ah1G19160.2	530.3	343	https://v10-1.orthodb.org/?query=68537at33090	Glycosyltransferase subfamily 4-like, N-terminal domain
68957at33090	Complete	Ah1G19630.1	666.9	430	https://v10-1.orthodb.org/?query=68957at33090	Mannosyltransferase
69073at33090	Complete	Ah5G08150.1	467.7	293	https://v10-1.orthodb.org/?query=69073at33090	Protein arginine methyltransferase NDUFAF7
69137at33090	Complete	Ah6G07230.1	638.6	506	https://v10-1.orthodb.org/?query=69137at33090	CDK5 regulatory subunit-associated protein 3
69505at33090	Complete	Ah4G28650.3	490.3	365	https://v10-1.orthodb.org/?query=69505at33090	tRNA A64-2'-O-ribosylphosphate transferase
69614at33090	Complete	Ah1G31660.1	548.2	377	https://v10-1.orthodb.org/?query=69614at33090	WD40 repeat
70613at33090	Complete	Ah8G19240.1	722.0	374	https://v10-1.orthodb.org/?query=70613at33090	Homogentisate 1,2-dioxygenase
71620at33090	Complete	Ah2G16990.1	512.0	334	https://v10-1.orthodb.org/?query=71620at33090	DNA primase large subunit
72992at33090	Complete	Ah4G09060.1	604.2	441	https://v10-1.orthodb.org/?query=72992at33090	RED-like, N-terminal
74230at33090	Complete	Ah4G03410.1	692.5	374	https://v10-1.orthodb.org/?query=74230at33090	Peptidogalycan biosysnthesis/recognition
74580at33090	Missing
74742at33090	Complete	Ah8G22750.1	346.3	299	https://v10-1.orthodb.org/?query=74742at33090	Histone acetyltransferase type B, catalytic subunit
75785at33090	Fragmented	Ah8G29810.2	217.4	167	https://v10-1.orthodb.org/?query=75785at33090	P-loop containing nucleoside triphosphate hydrolase
76026at33090	Complete	Ah3G26770.1	504.9	336	https://v10-1.orthodb.org/?query=76026at33090	SET domain
