busco_id	a_halleri	a_thaliana	c_grandiflora
101241at33090	Ah5G11280.1	AT3G33520.1	Cagra.13611s0002.1.p
101701at33090	Ah5G26630.1	AT3G56040.1	Cagra.0925s0015.1.p
102307at33090	Ah4G32660.1	AT2G43770.1	Cagra.1517s0005.1.p
103267at33090	Ah8G30800.1	AT5G63540.2	Cagra.0248s0032.1.p
103382at33090	Ah2G17970.1	AT1G68080.1	Cagra.1111s0001.1.p
104557at33090	Ah1G04270.1	AT1G04620.1	Cagra.1671s0081.1.p
104821at33090	Ah3G41220.1	AT2G19870.1	Cagra.3763s0001.1.p
104867at33090	Ah4G13280.1	AT2G28880.1	Cagra.1960s0004.1.p
105044at33090	Ah2G29130.1	AT1G77030.1	Cagra.0450s0031.1.p
105782at33090	Ah1G29500.1	AT1G26520.1	Cagra.0894s0006.1.p
105867at33090	Ah8G30890.1	AT5G63620.1	Cagra.0248s0041.1.p
106769at33090	Ah4G10100.1	AT2G26930.1	Cagra.1105s0001.1.p
106886at33090	Ah3G27830.1	AT3G22590.1	Cagra.1189s0034.1.p
107107at33090	Ah7G34540.1	AT5G35690.1	Cagra.25505s0001.1.p
108705at33090	Ah7G25180.2	AT4G17910.4	Cagra.3356s0085.1.p
10924at33090	Ah6G04160.2	AT5G04360.2	Cagra.9217s0016.1.p
109586at33090	Ah5G25780.1	AT3G55400.1	Cagra.1202s0009.1.p
109823at33090	Ah2G24160.1	AT1G73060.1	Cagra.1013s0005.1.p
110222at33090	Ah2G12950.1	AT1G65280.2	Cagra.1663s0002.1.p
111210at33090	Ah3G12100.1	AT3G10970.1	Cagra.12364s0001.1.p
111213at33090	Ah4G00450.1	AT2G21280.2	Cagra.2961s0031.1.p
111249at33090	Ah6G10920.1	AT5G10320.1	Cagra.1085s0027.1.p
111924at33090	Ah8G33670.1	AT5G65860.1	Cagra.0917s0001.1.p
112325at33090	Ah4G33770.1	AT2G44580.1	Cagra.0239s0007.1.p
112461at33090	Ah7G02110.1	AT4G36400.1	Cagra.1695s0006.1.p
112542at33090	Ah8G19590.3	AT5G54290.2	Cagra.1629s0013.1.p
114996at33090	Ah6G14670.1	AT5G13680.1	Cagra.0596s0058.1.p
115240at33090	Ah3G15080.1	AT3G13235.1	Cagra.0690s0040.1.p
115992at33090	Ah8G32220.1	AT5G64730.1	Cagra.2438s0030.1.p
116411at33090	Ah7G09520.1	AT4G30510.1	Cagra.0380s0075.1.p
116516at33090	Ah3G42880.1	AT2G18710.1	Cagra.0389s0007.1.p
116585at33090	Ah4G08790.2	AT2G26350.1	Cagra.20464s0001.1.p
116623at33090	Ah8G31150.1	AT5G63830.1	Cagra.0248s0062.1.p
117191at33090	Ah3G40540.1	AT2G20360.1	Cagra.5341s0003.1.p
117247at33090	Ah6G35010.1	AT4G10050.1	Cagra.7220s0004.1.p
11800at33090	Ah7G36910.1	AT5G37830.1	Cagra.8123s0004.1.p
119439at33090	Ah4G24600.2	AT2G37500.1	Cagra.24333s0003.1.p
